Columns_Removed,Reason
UID,Irrelevant column
NSV,Irrelevant column
GST Value,Irrelevant column
NSV-GST,Irrelevant column
(NSV-GST)-SALES AT COST,Irrelevant column
Gross RGM(P-L),Irrelevant column
Gross Margin %(Q/P*100),Irrelevant column
MARGIN%,Irrelevant column
DIS,Irrelevant column
DIS%,Irrelevant column
