number,value,datetime_start,datetime_complete,duration,params_drop_correlated,params_feature_selection,params_learning_rate,params_loss,params_n_estimators,params_number_features,user_attrs_Pipeline,user_attrs_drop_correlated,user_attrs_feature_selection,user_attrs_number_features,user_attrs_outlier_indicator,user_attrs_scaling_indicator,user_attrs_train_mean_ae,user_attrs_train_median_ae,user_attrs_train_rmse,user_attrs_val_mean_ae,user_attrs_val_median_ae,user_attrs_val_rmse,state
10,65.75113537041932,2022-10-24 16:29:52.325386,2022-10-24 16:30:11.657325,0 days 00:00:19.331939,yes,MutualInformation,0.03464992321362949,linear,50,12.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='yes',
                                             method='MutualInformation',
                                             model=AdaBoostRegressor(learning_rate=0.03464992321362949,
                                                                     random_state=120),
                                             number=12))])",yes,MutualInformation,12.0,retained,no,27.010485823791484,17.155321240137905,56.24334289744801,27.79749107059334,17.21430654249841,65.75113537041932,COMPLETE
11,64.26443803635622,2022-10-24 16:30:11.801068,2022-10-24 16:30:41.488930,0 days 00:00:29.687862,no,MutualInformation,0.011300163577320164,square,50,12.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='MutualInformation',
                                             model=AdaBoostRegressor(learning_rate=0.011300163577320164,
                                                                     loss='square',
                                                                     random_state=120),
                                             number=12))])",no,MutualInformation,12.0,retained,no,26.84332301992936,17.0441586300074,58.630272441661994,27.480072125694466,16.982602982160355,64.26443803635622,COMPLETE
12,64.75428134937196,2022-10-24 16:30:41.645172,2022-10-24 16:31:01.105612,0 days 00:00:19.460440,yes,MutualInformation,0.02315252050138977,square,50,30.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='yes',
                                             method='MutualInformation',
                                             model=AdaBoostRegressor(learning_rate=0.02315252050138977,
                                                                     loss='square',
                                                                     random_state=120),
                                             number=30))])",yes,MutualInformation,30.0,retained,no,26.654659464369573,16.293710839862886,57.80623253818833,27.262459064757973,16.110430728623573,64.75428134937196,COMPLETE
13,62.023801375219996,2022-10-24 16:31:01.255774,2022-10-24 16:31:34.503715,0 days 00:00:33.247941,no,MutualInformation,0.013325567394653482,exponential,50,23.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='MutualInformation',
                                             model=AdaBoostRegressor(learning_rate=0.013325567394653482,
                                                                     loss='exponential',
                                                                     random_state=120),
                                             number=23))])",no,MutualInformation,23.0,retained,no,26.898053340419835,16.984562154353895,57.67281597846834,27.589413629642166,16.949077386521292,62.023801375219996,COMPLETE
14,62.12938733535352,2022-10-24 16:31:34.660604,2022-10-24 16:31:54.213824,0 days 00:00:19.553220,yes,MutualInformation,0.019823565387931476,exponential,50,24.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='yes',
                                             method='MutualInformation',
                                             model=AdaBoostRegressor(learning_rate=0.019823565387931476,
                                                                     loss='exponential',
                                                                     random_state=120),
                                             number=24))])",yes,MutualInformation,24.0,retained,no,26.96854286960125,17.28650793520337,57.238696374693795,27.70665671727519,17.32788103645126,62.12938733535352,COMPLETE
15,61.67754837832413,2022-10-24 16:31:54.372237,2022-10-24 16:32:09.083876,0 days 00:00:14.711639,no,ANOVA,0.012550468280401902,exponential,50,22.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='ANOVA',
                                             model=AdaBoostRegressor(learning_rate=0.012550468280401902,
                                                                     loss='exponential',
                                                                     random_state=120),
                                             number=22))])",no,ANOVA,22.0,retained,no,26.80469585867174,17.028115464828087,57.44447511258977,27.47159893305799,16.992735158816085,61.67754837832413,COMPLETE
16,61.86965543525102,2022-10-24 16:32:09.248920,2022-10-24 16:32:42.537983,0 days 00:00:33.289063,no,Lasso,0.013140832238100747,exponential,50,21.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='Lasso',
                                             model=AdaBoostRegressor(learning_rate=0.013140832238100747,
                                                                     loss='exponential',
                                                                     random_state=120),
                                             number=21))])",no,Lasso,21.0,retained,no,26.96192320967944,17.00585429950335,57.74872475354428,27.624840413072082,16.96076415189601,61.86965543525102,COMPLETE
17,62.79689111937316,2022-10-24 16:32:42.687308,2022-10-24 16:32:56.981214,0 days 00:00:14.293906,no,ANOVA,0.012067438654935278,linear,50,20.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='ANOVA',
                                             model=AdaBoostRegressor(learning_rate=0.012067438654935278,
                                                                     random_state=120),
                                             number=20))])",no,ANOVA,20.0,retained,no,26.62072592725062,16.736550577429398,57.55009752235926,27.388840468692205,16.68907698972748,62.79689111937316,COMPLETE
18,61.50021690520506,2022-10-24 16:32:57.133063,2022-10-24 16:33:28.970544,0 days 00:00:31.837481,no,Lasso,0.010974146630091046,exponential,50,19.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='Lasso',
                                             model=AdaBoostRegressor(learning_rate=0.010974146630091046,
                                                                     loss='exponential',
                                                                     random_state=120),
                                             number=19))])",no,Lasso,19.0,retained,no,26.70391702328995,16.964012546901944,57.380273769230996,27.34164253208169,16.870007897801784,61.50021690520506,COMPLETE
19,61.586321216988814,2022-10-24 16:33:29.131564,2022-10-24 16:33:42.760832,0 days 00:00:13.629268,no,ANOVA,0.012272856182569883,exponential,50,17.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='ANOVA',
                                             model=AdaBoostRegressor(learning_rate=0.012272856182569883,
                                                                     loss='exponential',
                                                                     random_state=120),
                                             number=17))])",no,ANOVA,17.0,retained,no,26.917044589064215,17.15585082486119,57.587144459722715,27.56035606340693,17.09627178537374,61.586321216988814,COMPLETE
