number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_drop_correlated,params_feature_selection,params_iterations,params_l2_leaf_reg,params_learning_rate,params_loss_function,params_max_depth,params_nan_mode,params_number_features,params_random_strength,params_task_type,params_verbose,user_attrs_Pipeline,user_attrs_drop_correlated,user_attrs_feature_selection,user_attrs_number_features,user_attrs_outlier_indicator,user_attrs_scaling_indicator,user_attrs_train_mean_ae,user_attrs_train_median_ae,user_attrs_train_rmse,user_attrs_val_mean_ae,user_attrs_val_median_ae,user_attrs_val_rmse,state
10,61.35830771811021,2022-10-24 20:12:45.250007,2022-10-24 20:13:16.978918,0 days 00:00:31.728911,Plain,yes,FeatureImportance_ET,50,7,0.22344964915697746,RMSE,9,Min,12.0,0.15183233298236698,GPU,False,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='yes',
                                             method='FeatureImportance_ET',
                                             model=<catboost.core.CatBoostRegressor object at 0x000001AB41FF7E20>,
                                             number=12))])",yes,FeatureImportance_ET,12.0,retained,no,13.168201891553354,5.354815270864555,34.315076924122074,16.087113235148664,5.479113739476084,61.35830771811021,COMPLETE
11,59.96759563516694,2022-10-24 20:13:17.128091,2022-10-24 20:14:07.991841,0 days 00:00:50.863750,Plain,no,FeatureImportance_ET,50,10,0.1857840131391785,RMSE,5,Min,12.0,4.774890788226396,GPU,False,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureImportance_ET',
                                             model=<catboost.core.CatBoostRegressor object at 0x000001AB41FF6680>,
                                             number=12))])",no,FeatureImportance_ET,12.0,retained,no,15.550693360030683,6.032621722710449,48.741130911081854,16.539185411489225,6.068599464213307,59.96759563516694,COMPLETE
12,59.787866722884395,2022-10-24 20:14:08.168749,2022-10-24 20:14:58.465964,0 days 00:00:50.297215,Plain,no,FeatureImportance_ET,50,6,0.10945271729511424,RMSE,4,Min,19.0,2.863676692254804,GPU,False,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureImportance_ET',
                                             model=<catboost.core.CatBoostRegressor object at 0x000001AB41F58AF0>,
                                             number=19))])",no,FeatureImportance_ET,19.0,retained,no,16.528310458309644,6.9427661844797655,53.08902303475503,17.209878450245224,7.096803983159693,59.787866722884395,COMPLETE
13,61.79471612773333,2022-10-24 20:14:58.634954,2022-10-24 20:15:48.713756,0 days 00:00:50.078802,Plain,no,FeatureImportance_ET,50,4,0.0615675990564252,RMSE,4,Min,20.0,0.5461695915538031,GPU,False,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureImportance_ET',
                                             model=<catboost.core.CatBoostRegressor object at 0x000001AB41F3DDB0>,
                                             number=20))])",no,FeatureImportance_ET,20.0,retained,no,20.113794597387788,9.990245039888228,57.93958694526385,20.530880143107506,10.015969896855538,61.79471612773333,COMPLETE
14,57.72974653386027,2022-10-24 20:15:48.879341,2022-10-24 20:15:57.676158,0 days 00:00:08.796817,Plain,no,ANOVA,50,9,0.22844537257716602,RMSE,8,Min,19.0,0.9175437927442517,GPU,False,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='ANOVA',
                                             model=<catboost.core.CatBoostRegressor object at 0x000001AB41F3EDD0>,
                                             number=19))])",no,ANOVA,19.0,retained,no,14.422100036756985,5.648380284300651,40.59599408032369,16.135914643117943,5.71661610411784,57.72974653386027,COMPLETE
15,58.61574853687126,2022-10-24 20:15:57.832693,2022-10-24 20:16:07.044430,0 days 00:00:09.211737,Plain,no,ANOVA,50,9,0.14246634475681483,RMSE,9,Min,18.0,1.0652986901040842,GPU,False,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='ANOVA',
                                             model=<catboost.core.CatBoostRegressor object at 0x000001AB41F3F070>,
                                             number=18))])",no,ANOVA,18.0,retained,no,15.048039502271813,6.221761445003349,42.69952341716282,16.645604122778035,6.322884293134481,58.61574853687126,COMPLETE
16,59.863360521442836,2022-10-24 20:16:07.218143,2022-10-24 20:16:35.489700,0 days 00:00:28.271557,Plain,,FeatureWiz,50,9,0.29632826598710343,RMSE,6,Min,,0.11203708470191732,GPU,False,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureWiz',
                                             model=<catboost.core.CatBoostRegressor object at 0x000001AB400E1990>))])",no,FeatureWiz,,retained,no,14.756055372863223,5.910060980330396,42.407030596006614,16.48778086608404,5.969981678501749,59.863360521442836,COMPLETE
17,58.26420974258465,2022-10-24 20:16:35.648430,2022-10-24 20:17:26.504185,0 days 00:00:50.855755,Plain,no,FeatureImportance_ET,50,6,0.21072590790094264,RMSE,9,Min,23.0,1.1158457635049095,GPU,False,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureImportance_ET',
                                             model=<catboost.core.CatBoostRegressor object at 0x000001AB400E2860>,
                                             number=23))])",no,FeatureImportance_ET,23.0,retained,no,13.360923586746674,5.412028456157953,34.65547626741912,15.931868402594182,5.574243576948599,58.26420974258465,COMPLETE
18,60.22266527016571,2022-10-24 20:17:26.660907,2022-10-24 20:17:54.276474,0 days 00:00:27.615567,Plain,,FeatureWiz,50,3,0.10229721069614651,RMSE,10,Min,,0.34004682237823575,GPU,False,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureWiz',
                                             model=<catboost.core.CatBoostRegressor object at 0x000001AB41FF7C40>))])",no,FeatureWiz,,retained,no,14.536151745089986,6.376838552347588,39.24710192120727,16.836391193113002,6.59837872627718,60.22266527016571,COMPLETE
19,61.080345409049166,2022-10-24 20:17:54.422924,2022-10-24 20:18:45.988759,0 days 00:00:51.565835,Plain,no,FeatureImportance_ET,50,7,0.08328305016648475,RMSE,10,Min,25.0,3.4831358712287646,GPU,False,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureImportance_ET',
                                             model=<catboost.core.CatBoostRegressor object at 0x000001AB238E6920>,
                                             number=25))])",no,FeatureImportance_ET,25.0,retained,no,17.283351778899938,8.383856488957443,45.851243509565016,19.005682460564177,8.511877623651626,61.080345409049166,COMPLETE
