number,value,datetime_start,datetime_complete,duration,params_alpha,params_drop_correlated,params_epsilon,params_feature_selection,params_max_iter,params_number_features,params_scaling,user_attrs_Pipeline,user_attrs_drop_correlated,user_attrs_feature_selection,user_attrs_number_features,user_attrs_outlier_indicator,user_attrs_scaling_indicator,user_attrs_train_mean_ae,user_attrs_train_median_ae,user_attrs_train_rmse,user_attrs_val_mean_ae,user_attrs_val_median_ae,user_attrs_val_rmse,state
0,164.87714973831916,2022-10-23 17:03:52.805356,2022-10-23 17:04:26.959778,0 days 00:00:34.154422,0.0011960595789168287,no,1.6050058888336762,Lasso,10000,22.0,Combine,"Pipeline(memory='Caching',
         steps=[['gaussian_transform',
                 GaussianTransformer(continuous=['NSU', 'Sales at Cost',
                                                 'Gross Sales', 'MRP'])],
                ['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 OneHotEncoder(variables=['NAME', 'ZON...
                ['Cyclic_encoding',
                 CyclicalFeatures(drop_original=True,
                                  variables=['Fdate_month', 'Fdate_quarter'])],
                ('scaling', ScalingTransformer(scaler='Combine')),
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='Lasso',
                                             model=HuberRegressor(alpha=0.0011960595789168287,
                                                                  epsilon=1.6050058888336762,
                                                                  max_iter=10000),
                                             number=22,
                                             scaling_indicator='Combine'))])",no,Lasso,22.0,retained,Combine,58.5313777353337,22.598419053048236,165.06270159773226,58.57651331190882,22.674964925830924,164.87714973831916,COMPLETE
1,199.513794051806,2022-10-23 17:04:27.151073,2022-10-23 17:04:37.881330,0 days 00:00:10.730257,0.5191117586277005,no,1.2837507623766935,ANOVA,10000,22.0,MinMax,"Pipeline(memory='Caching',
         steps=[['gaussian_transform',
                 GaussianTransformer(continuous=['NSU', 'Sales at Cost',
                                                 'Gross Sales', 'MRP'])],
                ['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 OneHotEncoder(variables=['NAME', 'ZON...
                ['Cyclic_encoding',
                 CyclicalFeatures(drop_original=True,
                                  variables=['Fdate_month', 'Fdate_quarter'])],
                ('scaling', ScalingTransformer(scaler='MinMax')),
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='ANOVA',
                                             model=HuberRegressor(alpha=0.5191117586277005,
                                                                  epsilon=1.2837507623766935,
                                                                  max_iter=10000),
                                             number=22,
                                             scaling_indicator='MinMax'))])",no,ANOVA,22.0,retained,MinMax,67.58973100997099,11.345555310742645,199.6553355790521,67.59716998360138,11.33886324817508,199.513794051806,COMPLETE
2,202.51658695511279,2022-10-23 17:04:38.058599,2022-10-23 17:05:10.130910,0 days 00:00:32.072311,2.630636140950781e-05,,1.0570390583347136,FeatureWiz,10000,,MinMax,"Pipeline(memory='Caching',
         steps=[['gaussian_transform',
                 GaussianTransformer(continuous=['NSU', 'Sales at Cost',
                                                 'Gross Sales', 'MRP'])],
                ['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 OneHotEncoder(variables=['NAME', 'ZON...
                ['Cyclic_encoding',
                 CyclicalFeatures(drop_original=True,
                                  variables=['Fdate_month', 'Fdate_quarter'])],
                ('scaling', ScalingTransformer(scaler='MinMax')),
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureWiz',
                                             model=HuberRegressor(alpha=2.630636140950781e-05,
                                                                  epsilon=1.0570390583347136,
                                                                  max_iter=10000),
                                             scaling_indicator='MinMax'))])",no,FeatureWiz,,retained,MinMax,69.74316524875631,13.401766808117607,202.83966635528813,69.59855483750768,13.42011436020789,202.51658695511279,COMPLETE
3,162.02770305971754,2022-10-23 17:05:10.274503,2022-10-23 17:06:09.283206,0 days 00:00:59.008703,4.338095989017037e-06,no,1.8747103274076782,FeatureImportance_ET,10000,9.0,Standard,"Pipeline(memory='Caching',
         steps=[['gaussian_transform',
                 GaussianTransformer(continuous=['NSU', 'Sales at Cost',
                                                 'Gross Sales', 'MRP'])],
                ['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 OneHotEncoder(variables=['NAME', 'ZON...
                 CyclicalFeatures(drop_original=True,
                                  variables=['Fdate_month', 'Fdate_quarter'])],
                ('scaling', ScalingTransformer(scaler='Standard')),
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureImportance_ET',
                                             model=HuberRegressor(alpha=4.338095989017037e-06,
                                                                  epsilon=1.8747103274076782,
                                                                  max_iter=10000),
                                             number=9,
                                             scaling_indicator='Standard'))])",no,FeatureImportance_ET,9.0,retained,Standard,59.549412866219974,25.213352310514527,162.21484116466547,59.573957861522295,25.36142329092871,162.02770305971754,COMPLETE
4,185.96410335868052,2022-10-23 17:06:09.453763,2022-10-23 17:06:31.381273,0 days 00:00:21.927510,8.251073924929414e-05,yes,1.8079844837530312,MutualInformation,10000,8.0,Robust,"Pipeline(memory='Caching',
         steps=[['gaussian_transform',
                 GaussianTransformer(continuous=['NSU', 'Sales at Cost',
                                                 'Gross Sales', 'MRP'])],
                ['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 OneHotEncoder(variables=['NAME', 'ZON...
                 CyclicalFeatures(drop_original=True,
                                  variables=['Fdate_month', 'Fdate_quarter'])],
                ('scaling', ScalingTransformer(scaler='Robust')),
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='yes',
                                             method='MutualInformation',
                                             model=HuberRegressor(alpha=8.251073924929414e-05,
                                                                  epsilon=1.8079844837530312,
                                                                  max_iter=10000),
                                             number=8,
                                             scaling_indicator='Robust'))])",yes,MutualInformation,8.0,retained,Robust,71.98319034718692,28.673859223284325,186.1123405196324,71.99011342334201,28.651403288799525,185.96410335868052,COMPLETE
5,200.97824342343253,2022-10-23 17:06:31.542481,2022-10-23 17:07:04.014584,0 days 00:00:32.472103,0.09094382646940287,,1.2075246218815436,FeatureWiz,10000,,Standard,"Pipeline(memory='Caching',
         steps=[['gaussian_transform',
                 GaussianTransformer(continuous=['NSU', 'Sales at Cost',
                                                 'Gross Sales', 'MRP'])],
                ['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 OneHotEncoder(variables=['NAME', 'ZON...
                ['Cyclic_encoding',
                 CyclicalFeatures(drop_original=True,
                                  variables=['Fdate_month', 'Fdate_quarter'])],
                ('scaling', ScalingTransformer(scaler='Standard')),
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureWiz',
                                             model=HuberRegressor(alpha=0.09094382646940287,
                                                                  epsilon=1.2075246218815436,
                                                                  max_iter=10000),
                                             scaling_indicator='Standard'))])",no,FeatureWiz,,retained,Standard,69.92457354224885,14.645210530420243,201.2962261089891,69.78387900139514,14.651480879582762,200.97824342343253,COMPLETE
6,189.94243832888176,2022-10-23 17:07:04.172038,2022-10-23 17:07:13.485080,0 days 00:00:09.313042,0.10593246274874238,yes,1.6838241552008708,ANOVA,10000,3.0,Standard,"Pipeline(memory='Caching',
         steps=[['gaussian_transform',
                 GaussianTransformer(continuous=['NSU', 'Sales at Cost',
                                                 'Gross Sales', 'MRP'])],
                ['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 OneHotEncoder(variables=['NAME', 'ZON...
                ['Cyclic_encoding',
                 CyclicalFeatures(drop_original=True,
                                  variables=['Fdate_month', 'Fdate_quarter'])],
                ('scaling', ScalingTransformer(scaler='Standard')),
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='yes',
                                             method='ANOVA',
                                             model=HuberRegressor(alpha=0.10593246274874238,
                                                                  epsilon=1.6838241552008708,
                                                                  max_iter=10000),
                                             number=3,
                                             scaling_indicator='Standard'))])",yes,ANOVA,3.0,retained,Standard,71.77473367984983,23.42991600717271,190.08896380039084,71.77527132593774,23.40400057433716,189.94243832888176,COMPLETE
7,165.70192930685945,2022-10-23 17:07:13.641319,2022-10-23 17:07:22.490231,0 days 00:00:08.848912,0.2960412804156586,no,1.7451742245692197,ANOVA,10000,13.0,Standard,"Pipeline(memory='Caching',
         steps=[['gaussian_transform',
                 GaussianTransformer(continuous=['NSU', 'Sales at Cost',
                                                 'Gross Sales', 'MRP'])],
                ['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 OneHotEncoder(variables=['NAME', 'ZON...
                ['Cyclic_encoding',
                 CyclicalFeatures(drop_original=True,
                                  variables=['Fdate_month', 'Fdate_quarter'])],
                ('scaling', ScalingTransformer(scaler='Standard')),
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='ANOVA',
                                             model=HuberRegressor(alpha=0.2960412804156586,
                                                                  epsilon=1.7451742245692197,
                                                                  max_iter=10000),
                                             number=13,
                                             scaling_indicator='Standard'))])",no,ANOVA,13.0,retained,Standard,58.80194342487071,23.093629788079117,165.88370571975437,58.8337971790273,23.18279440165482,165.70192930685945,COMPLETE
8,168.69684301405843,2022-10-23 17:07:22.644687,2022-10-23 17:08:20.166644,0 days 00:00:57.521957,9.364354273543644e-06,no,1.336189991954704,FeatureImportance_ET,10000,12.0,Standard,"Pipeline(memory='Caching',
         steps=[['gaussian_transform',
                 GaussianTransformer(continuous=['NSU', 'Sales at Cost',
                                                 'Gross Sales', 'MRP'])],
                ['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 OneHotEncoder(variables=['NAME', 'ZON...
                 CyclicalFeatures(drop_original=True,
                                  variables=['Fdate_month', 'Fdate_quarter'])],
                ('scaling', ScalingTransformer(scaler='Standard')),
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureImportance_ET',
                                             model=HuberRegressor(alpha=9.364354273543644e-06,
                                                                  epsilon=1.336189991954704,
                                                                  max_iter=10000),
                                             number=12,
                                             scaling_indicator='Standard'))])",no,FeatureImportance_ET,12.0,retained,Standard,58.009288199756384,19.384466140910423,168.87363042272793,58.05700971602807,19.494590772738967,168.69684301405843,COMPLETE
9,241.92806089512302,2022-10-23 17:08:20.313649,2022-10-23 17:08:36.033982,0 days 00:00:15.720333,0.08689123810795973,no,1.4343037627790993,Lasso,10000,1.0,Robust,"Pipeline(memory='Caching',
         steps=[['gaussian_transform',
                 GaussianTransformer(continuous=['NSU', 'Sales at Cost',
                                                 'Gross Sales', 'MRP'])],
                ['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 OneHotEncoder(variables=['NAME', 'ZON...
                ['Cyclic_encoding',
                 CyclicalFeatures(drop_original=True,
                                  variables=['Fdate_month', 'Fdate_quarter'])],
                ('scaling', ScalingTransformer(scaler='Robust')),
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='Lasso',
                                             model=HuberRegressor(alpha=0.08689123810795973,
                                                                  epsilon=1.4343037627790993,
                                                                  max_iter=10000),
                                             number=1,
                                             scaling_indicator='Robust'))])",no,Lasso,1.0,retained,Robust,99.53715444010167,35.68824268776964,242.060034356899,99.53907448441483,35.71157900387728,241.92806089512302,COMPLETE
