number,value,datetime_start,datetime_complete,duration,params_alpha,params_drop_correlated,params_epsilon,params_feature_selection,params_max_iter,params_number_features,params_scaling,user_attrs_Pipeline,user_attrs_drop_correlated,user_attrs_feature_selection,user_attrs_number_features,user_attrs_outlier_indicator,user_attrs_scaling_indicator,user_attrs_train_mean_ae,user_attrs_train_median_ae,user_attrs_train_rmse,user_attrs_val_mean_ae,user_attrs_val_median_ae,user_attrs_val_rmse,state
0,166.8511749182746,2022-10-23 17:21:32.858359,2022-10-23 17:22:07.087003,0 days 00:00:34.228644,0.0011960595789168287,no,1.6050058888336762,Lasso,10000,22.0,Combine,"Pipeline(memory='Caching',
         steps=[['gaussian_transform',
                 GaussianTransformer(continuous=['NSU', 'Sales at Cost',
                                                 'Gross Sales', 'MRP'])],
                ['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 OneHotEncoder(variables=['NAME', 'ZON...
                ['Cyclic_encoding',
                 CyclicalFeatures(drop_original=True,
                                  variables=['Fdate_month', 'Fdate_quarter'])],
                ('scaling', ScalingTransformer(scaler='Combine')),
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='Lasso',
                                             model=HuberRegressor(alpha=0.0011960595789168287,
                                                                  epsilon=1.6050058888336762,
                                                                  max_iter=10000),
                                             number=22,
                                             scaling_indicator='Combine'))])",no,Lasso,22.0,retained,Combine,59.33784736740373,22.403469312378636,167.09165433477983,59.43480337617317,22.41223096219483,166.8511749182746,COMPLETE
1,202.67234011101303,2022-10-23 17:22:07.286603,2022-10-23 17:22:18.907465,0 days 00:00:11.620862,0.5191117586277005,no,1.2837507623766935,ANOVA,10000,22.0,MinMax,"Pipeline(memory='Caching',
         steps=[['gaussian_transform',
                 GaussianTransformer(continuous=['NSU', 'Sales at Cost',
                                                 'Gross Sales', 'MRP'])],
                ['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 OneHotEncoder(variables=['NAME', 'ZON...
                ['Cyclic_encoding',
                 CyclicalFeatures(drop_original=True,
                                  variables=['Fdate_month', 'Fdate_quarter'])],
                ('scaling', ScalingTransformer(scaler='MinMax')),
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='ANOVA',
                                             model=HuberRegressor(alpha=0.5191117586277005,
                                                                  epsilon=1.2837507623766935,
                                                                  max_iter=10000),
                                             number=22,
                                             scaling_indicator='MinMax'))])",no,ANOVA,22.0,retained,MinMax,69.07571853010951,11.531604109971191,202.97989230892992,69.09310534767432,11.532839576169565,202.67234011101303,COMPLETE
2,204.23919750381893,2022-10-23 17:22:19.059129,2022-10-23 17:22:51.499476,0 days 00:00:32.440347,2.630636140950781e-05,,1.0570390583347136,FeatureWiz,10000,,MinMax,"Pipeline(memory='Caching',
         steps=[['gaussian_transform',
                 GaussianTransformer(continuous=['NSU', 'Sales at Cost',
                                                 'Gross Sales', 'MRP'])],
                ['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 OneHotEncoder(variables=['NAME', 'ZON...
                ['Cyclic_encoding',
                 CyclicalFeatures(drop_original=True,
                                  variables=['Fdate_month', 'Fdate_quarter'])],
                ('scaling', ScalingTransformer(scaler='MinMax')),
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureWiz',
                                             model=HuberRegressor(alpha=2.630636140950781e-05,
                                                                  epsilon=1.0570390583347136,
                                                                  max_iter=10000),
                                             scaling_indicator='MinMax'))])",no,FeatureWiz,,retained,MinMax,70.54275401237096,12.758383308207002,204.4339507216565,70.6080342956317,12.814622554616749,204.23919750381893,COMPLETE
3,163.81398392623598,2022-10-23 17:22:51.647924,2022-10-23 17:23:51.150395,0 days 00:00:59.502471,4.338095989017037e-06,no,1.8747103274076782,FeatureImportance_ET,10000,9.0,Standard,"Pipeline(memory='Caching',
         steps=[['gaussian_transform',
                 GaussianTransformer(continuous=['NSU', 'Sales at Cost',
                                                 'Gross Sales', 'MRP'])],
                ['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 OneHotEncoder(variables=['NAME', 'ZON...
                 CyclicalFeatures(drop_original=True,
                                  variables=['Fdate_month', 'Fdate_quarter'])],
                ('scaling', ScalingTransformer(scaler='Standard')),
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureImportance_ET',
                                             model=HuberRegressor(alpha=4.338095989017037e-06,
                                                                  epsilon=1.8747103274076782,
                                                                  max_iter=10000),
                                             number=9,
                                             scaling_indicator='Standard'))])",no,FeatureImportance_ET,9.0,retained,Standard,60.31900955083446,25.101665309170084,164.03941913256776,60.401577876277315,25.119731945143453,163.81398392623598,COMPLETE
4,188.76274938461742,2022-10-23 17:23:51.305787,2022-10-23 17:24:13.808745,0 days 00:00:22.502958,8.251073924929414e-05,yes,1.8079844837530312,MutualInformation,10000,8.0,Robust,"Pipeline(memory='Caching',
         steps=[['gaussian_transform',
                 GaussianTransformer(continuous=['NSU', 'Sales at Cost',
                                                 'Gross Sales', 'MRP'])],
                ['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 OneHotEncoder(variables=['NAME', 'ZON...
                 CyclicalFeatures(drop_original=True,
                                  variables=['Fdate_month', 'Fdate_quarter'])],
                ('scaling', ScalingTransformer(scaler='Robust')),
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='yes',
                                             method='MutualInformation',
                                             model=HuberRegressor(alpha=8.251073924929414e-05,
                                                                  epsilon=1.8079844837530312,
                                                                  max_iter=10000),
                                             number=8,
                                             scaling_indicator='Robust'))])",yes,MutualInformation,8.0,retained,Robust,73.55545469362058,29.239018488189668,189.07852861735242,73.57720097448994,29.20237765683221,188.76274938461742,COMPLETE
5,200.52055456975197,2022-10-23 17:24:13.956026,2022-10-23 17:24:46.114578,0 days 00:00:32.158552,0.09094382646940287,,1.2075246218815436,FeatureWiz,10000,,Standard,"Pipeline(memory='Caching',
         steps=[['gaussian_transform',
                 GaussianTransformer(continuous=['NSU', 'Sales at Cost',
                                                 'Gross Sales', 'MRP'])],
                ['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 OneHotEncoder(variables=['NAME', 'ZON...
                ['Cyclic_encoding',
                 CyclicalFeatures(drop_original=True,
                                  variables=['Fdate_month', 'Fdate_quarter'])],
                ('scaling', ScalingTransformer(scaler='Standard')),
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureWiz',
                                             model=HuberRegressor(alpha=0.09094382646940287,
                                                                  epsilon=1.2075246218815436,
                                                                  max_iter=10000),
                                             scaling_indicator='Standard'))])",no,FeatureWiz,,retained,Standard,69.94359540345884,13.758360058241342,200.84129783271092,69.96137380756501,13.785575185465376,200.52055456975197,COMPLETE
6,192.7005285076141,2022-10-23 17:24:46.275051,2022-10-23 17:24:55.156880,0 days 00:00:08.881829,0.10593246274874238,yes,1.6838241552008708,ANOVA,10000,3.0,Standard,"Pipeline(memory='Caching',
         steps=[['gaussian_transform',
                 GaussianTransformer(continuous=['NSU', 'Sales at Cost',
                                                 'Gross Sales', 'MRP'])],
                ['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 OneHotEncoder(variables=['NAME', 'ZON...
                ['Cyclic_encoding',
                 CyclicalFeatures(drop_original=True,
                                  variables=['Fdate_month', 'Fdate_quarter'])],
                ('scaling', ScalingTransformer(scaler='Standard')),
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='yes',
                                             method='ANOVA',
                                             model=HuberRegressor(alpha=0.10593246274874238,
                                                                  epsilon=1.6838241552008708,
                                                                  max_iter=10000),
                                             number=3,
                                             scaling_indicator='Standard'))])",yes,ANOVA,3.0,retained,Standard,73.32648676051538,24.00656033257933,193.00958078769463,73.34413003227098,23.976323494510495,192.7005285076141,COMPLETE
7,167.73308732625765,2022-10-23 17:24:55.318152,2022-10-23 17:25:04.011806,0 days 00:00:08.693654,0.2960412804156586,no,1.7451742245692197,ANOVA,10000,13.0,Standard,"Pipeline(memory='Caching',
         steps=[['gaussian_transform',
                 GaussianTransformer(continuous=['NSU', 'Sales at Cost',
                                                 'Gross Sales', 'MRP'])],
                ['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 OneHotEncoder(variables=['NAME', 'ZON...
                ['Cyclic_encoding',
                 CyclicalFeatures(drop_original=True,
                                  variables=['Fdate_month', 'Fdate_quarter'])],
                ('scaling', ScalingTransformer(scaler='Standard')),
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='ANOVA',
                                             model=HuberRegressor(alpha=0.2960412804156586,
                                                                  epsilon=1.7451742245692197,
                                                                  max_iter=10000),
                                             number=13,
                                             scaling_indicator='Standard'))])",no,ANOVA,13.0,retained,Standard,59.65876588763493,22.999005252735248,167.99830125042,59.73770366591026,23.12423948132039,167.73308732625765,COMPLETE
8,170.6414897103801,2022-10-23 17:25:04.168543,2022-10-23 17:26:02.416050,0 days 00:00:58.247507,9.364354273543644e-06,no,1.336189991954704,FeatureImportance_ET,10000,12.0,Standard,"Pipeline(memory='Caching',
         steps=[['gaussian_transform',
                 GaussianTransformer(continuous=['NSU', 'Sales at Cost',
                                                 'Gross Sales', 'MRP'])],
                ['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 OneHotEncoder(variables=['NAME', 'ZON...
                 CyclicalFeatures(drop_original=True,
                                  variables=['Fdate_month', 'Fdate_quarter'])],
                ('scaling', ScalingTransformer(scaler='Standard')),
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureImportance_ET',
                                             model=HuberRegressor(alpha=9.364354273543644e-06,
                                                                  epsilon=1.336189991954704,
                                                                  max_iter=10000),
                                             number=12,
                                             scaling_indicator='Standard'))])",no,FeatureImportance_ET,12.0,retained,Standard,58.82335196418135,19.238143142778743,170.89237872807192,58.90333019035106,19.345519304637474,170.6414897103801,COMPLETE
9,246.01646588275534,2022-10-23 17:26:02.552311,2022-10-23 17:26:19.016631,0 days 00:00:16.464320,0.08689123810795973,no,1.4343037627790993,Lasso,10000,1.0,Robust,"Pipeline(memory='Caching',
         steps=[['gaussian_transform',
                 GaussianTransformer(continuous=['NSU', 'Sales at Cost',
                                                 'Gross Sales', 'MRP'])],
                ['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 OneHotEncoder(variables=['NAME', 'ZON...
                ['Cyclic_encoding',
                 CyclicalFeatures(drop_original=True,
                                  variables=['Fdate_month', 'Fdate_quarter'])],
                ('scaling', ScalingTransformer(scaler='Robust')),
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='Lasso',
                                             model=HuberRegressor(alpha=0.08689123810795973,
                                                                  epsilon=1.4343037627790993,
                                                                  max_iter=10000),
                                             number=1,
                                             scaling_indicator='Robust'))])",no,Lasso,1.0,retained,Robust,101.44168010142812,36.11345127976988,246.29919664884787,101.44456742987883,36.149922825264106,246.01646588275534,COMPLETE
