,count,mean,std,min,25%,50%,75%,max
NSU,37203.0,1568.6829459720989,8347.914757324543,0.001,55.0,260.0,938.3969999999999,410978.704
Sales at Cost,37203.0,120814.48725254418,533440.3709806683,0.0,3351.185,15424.85,63234.2,15464090.71
Gross Sales,37203.0,143260.85092089348,592120.1632777267,0.05,4648.5,20713.0,82732.5,16434146.0
MRP,37203.0,149.2616050131741,252.35625930563924,0.067378852,44.0,72.30694777,125.0,4765.472527
SP,37203.0,136.98196110358617,235.635716040225,0.001904762,37.89043447,64.28,114.42876555000001,3164.486176
