number,value,datetime_start,datetime_complete,duration,params_ccp_alpha,params_criterion,params_drop_correlated,params_feature_selection,params_number_features,user_attrs_Pipeline,user_attrs_drop_correlated,user_attrs_feature_selection,user_attrs_number_features,user_attrs_outlier_indicator,user_attrs_scaling_indicator,user_attrs_train_mean_ae,user_attrs_train_median_ae,user_attrs_train_rmse,user_attrs_val_mean_ae,user_attrs_val_median_ae,user_attrs_val_rmse,state
0,67.65713942809909,2022-10-24 11:27:50.343632,2022-10-24 11:28:26.068737,0 days 00:00:35.725105,66.94888870521439,friedman_mse,yes,FeatureImportance_ET,20.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='yes',
                                             method='FeatureImportance_ET',
                                             model=DecisionTreeRegressor(ccp_alpha=66.94888870521439,
                                                                         criterion='friedman_mse',
                                                                         random_state=120),
                                             number=20))])",yes,FeatureImportance_ET,20.0,retained,no,19.161981290350194,10.066533717201173,45.22140513337667,20.56097295248045,10.174102404171684,67.65713942809909,COMPLETE
1,152.46615020809887,2022-10-24 11:28:26.224492,2022-10-24 11:28:44.295747,0 days 00:00:18.071255,67.96832364353936,poisson,yes,Lasso,7.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='yes',
                                             method='Lasso',
                                             model=DecisionTreeRegressor(ccp_alpha=67.96832364353936,
                                                                         criterion='poisson',
                                                                         random_state=120),
                                             number=7))])",yes,Lasso,7.0,retained,no,70.07349696030543,34.27000073679093,152.41504252478822,70.15994317118106,34.268569021030764,152.46615020809887,COMPLETE
2,68.04643688757147,2022-10-24 11:28:44.450429,2022-10-24 11:29:14.166745,0 days 00:00:29.716316,65.13753452384192,squared_error,no,Lasso,28.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='Lasso',
                                             model=DecisionTreeRegressor(ccp_alpha=65.13753452384192,
                                                                         random_state=120),
                                             number=28))])",no,Lasso,28.0,retained,no,19.133423247211407,10.066533717201287,44.88815510280788,20.572219326875878,10.173902584688376,68.04643688757147,COMPLETE
3,67.9307881799989,2022-10-24 11:29:14.321237,2022-10-24 11:29:33.761226,0 days 00:00:19.439989,72.6327091836818,friedman_mse,yes,MutualInformation,14.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='yes',
                                             method='MutualInformation',
                                             model=DecisionTreeRegressor(ccp_alpha=72.6327091836818,
                                                                         criterion='friedman_mse',
                                                                         random_state=120),
                                             number=14))])",yes,MutualInformation,14.0,retained,no,19.265167674107303,10.066533717201231,45.47899343477011,20.697322353697164,10.17410240417164,67.9307881799989,COMPLETE
4,66.21449102864916,2022-10-24 11:29:33.925920,2022-10-24 11:29:52.028135,0 days 00:00:18.102215,57.29926425838937,squared_error,yes,Lasso,19.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='yes',
                                             method='Lasso',
                                             model=DecisionTreeRegressor(ccp_alpha=57.29926425838937,
                                                                         random_state=120),
                                             number=19))])",yes,Lasso,19.0,retained,no,18.672302305968827,9.955749253545234,43.89290570069111,20.07591032756486,10.089059879185525,66.21449102864916,COMPLETE
5,244.43130752994497,2022-10-24 11:29:52.171240,2022-10-24 11:31:02.062508,0 days 00:01:09.891268,61.16594711159912,absolute_error,,FeatureWiz,,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureWiz',
                                             model=DecisionTreeRegressor(ccp_alpha=61.16594711159912,
                                                                         criterion='absolute_error',
                                                                         random_state=120)))])",no,FeatureWiz,,retained,no,99.10186708368651,31.708498618333337,244.56374470264197,99.10442079280176,31.714196453333333,244.43130752994497,COMPLETE
6,152.46615020809887,2022-10-24 11:31:02.220372,2022-10-24 11:31:20.076483,0 days 00:00:17.856111,52.150582910208435,poisson,yes,Lasso,24.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='yes',
                                             method='Lasso',
                                             model=DecisionTreeRegressor(ccp_alpha=52.150582910208435,
                                                                         criterion='poisson',
                                                                         random_state=120),
                                             number=24))])",yes,Lasso,24.0,retained,no,70.0734969603054,34.2700007367908,152.41504252478822,70.15994317118101,34.268569021030835,152.46615020809887,COMPLETE
7,152.46615020809887,2022-10-24 11:31:20.233069,2022-10-24 11:32:11.842740,0 days 00:00:51.609671,62.22722943839495,poisson,no,FeatureImportance_ET,15.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureImportance_ET',
                                             model=DecisionTreeRegressor(ccp_alpha=62.22722943839495,
                                                                         criterion='poisson',
                                                                         random_state=120),
                                             number=15))])",no,FeatureImportance_ET,15.0,retained,no,70.07349696030539,34.270000736790806,152.41504252478822,70.159943171181,34.26856902103076,152.46615020809887,COMPLETE
8,244.43130752994497,2022-10-24 11:32:11.981895,2022-10-24 11:33:22.649600,0 days 00:01:10.667705,73.89950335847415,absolute_error,yes,MutualInformation,27.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='yes',
                                             method='MutualInformation',
                                             model=DecisionTreeRegressor(ccp_alpha=73.89950335847415,
                                                                         criterion='absolute_error',
                                                                         random_state=120),
                                             number=27))])",yes,MutualInformation,27.0,retained,no,99.10186708368651,31.708498618333337,244.56374470264197,99.10442079280176,31.714196453333333,244.43130752994497,COMPLETE
9,152.46615020809887,2022-10-24 11:33:22.784445,2022-10-24 11:33:41.339276,0 days 00:00:18.554831,66.89354889970166,poisson,yes,MutualInformation,19.0,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 CatBoostEncodingTransformer(columns=['NAME', 'ZONE', 'Brand',
                                                      'MC'])],
                ['Cyclic_encoding',
                 CatBoostEncodingTransformer(columns=['Fdate_month',
                                                      'Fdate_quarter'])],
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='yes',
                                             method='MutualInformation',
                                             model=DecisionTreeRegressor(ccp_alpha=66.89354889970166,
                                                                         criterion='poisson',
                                                                         random_state=120),
                                             number=19))])",yes,MutualInformation,19.0,retained,no,70.07349696030542,34.27000073679071,152.41504252478822,70.15994317118104,34.2685690210309,152.46615020809887,COMPLETE
