number,value,datetime_start,datetime_complete,duration,params_C,params_drop_correlated,params_dual,params_feature_selection,params_loss,params_max_iter,params_number_features,params_outlier_indicator,params_scaling,user_attrs_Pipeline,user_attrs_drop_correlated,user_attrs_feature_selection,user_attrs_number_features,user_attrs_outlier_indicator,user_attrs_scaling_indicator,user_attrs_train_mean_ae,user_attrs_train_median_ae,user_attrs_train_rmse,user_attrs_val_mean_ae,user_attrs_val_median_ae,user_attrs_val_rmse,state
0,63.541647576358294,2022-10-24 08:48:46.427444,2022-10-24 08:49:07.144498,0 days 00:00:20.717054,0.05150177448402826,no,False,Lasso,squared_epsilon_insensitive,10000,11.0,retained,Combine,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 OneHotEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['Cyclic_encoding',
                 CyclicalFeatures(drop_original=True,
                                  variables=['Fdate_month', 'Fdate_quarter'])],
                ('scaling', ScalingTransformer(scaler='Combine')),
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='Lasso',
                                             model=LinearSVR(C=0.05150177448402826,
                                                             dual=False,
                                                             loss='squared_epsilon_insensitive',
                                                             max_iter=10000,
                                                             random_state=120),
                                             number=11,
                                             scaling_indicator='Combine'))])",no,Lasso,11.0,retained,Combine,26.70762564167461,12.644688039586335,62.68089713761082,26.75881193836352,12.665058882832277,63.541647576358294,COMPLETE
1,54.60962581793749,2022-10-24 08:49:07.313179,2022-10-24 08:49:39.221868,0 days 00:00:31.908689,0.6459128296222968,,False,FeatureWiz,squared_epsilon_insensitive,10000,,retained,Standard,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 OneHotEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['Cyclic_encoding',
                 CyclicalFeatures(drop_original=True,
                                  variables=['Fdate_month', 'Fdate_quarter'])],
                ('scaling', ScalingTransformer(scaler='Standard')),
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureWiz',
                                             model=LinearSVR(C=0.6459128296222968,
                                                             dual=False,
                                                             loss='squared_epsilon_insensitive',
                                                             max_iter=10000,
                                                             random_state=120),
                                             scaling_indicator='Standard'))])",no,FeatureWiz,,retained,Standard,16.550685666923396,6.275845679829806,54.32453682377399,16.58754226824566,6.247630057922734,54.60962581793749,COMPLETE
2,61.323780961983175,2022-10-24 08:49:39.375233,2022-10-24 08:50:10.042668,0 days 00:00:30.667435,0.06479839508949997,,False,FeatureWiz,squared_epsilon_insensitive,10000,,retained,MinMax,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 OneHotEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['Cyclic_encoding',
                 CyclicalFeatures(drop_original=True,
                                  variables=['Fdate_month', 'Fdate_quarter'])],
                ('scaling', ScalingTransformer(scaler='MinMax')),
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureWiz',
                                             model=LinearSVR(C=0.06479839508949997,
                                                             dual=False,
                                                             loss='squared_epsilon_insensitive',
                                                             max_iter=10000,
                                                             random_state=120),
                                             scaling_indicator='MinMax'))])",no,FeatureWiz,,retained,MinMax,25.325461458593935,12.793884820666504,60.481879062312885,25.362791159031733,12.727548063365603,61.323780961983175,COMPLETE
3,54.9862964868856,2022-10-24 08:50:10.202483,2022-10-24 08:50:18.039447,0 days 00:00:07.836964,0.4180550455914093,yes,False,Lasso,squared_epsilon_insensitive,10000,26.0,retained,MinMax,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 OneHotEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['Cyclic_encoding',
                 CyclicalFeatures(drop_original=True,
                                  variables=['Fdate_month', 'Fdate_quarter'])],
                ('scaling', ScalingTransformer(scaler='MinMax')),
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='yes',
                                             method='Lasso',
                                             model=LinearSVR(C=0.4180550455914093,
                                                             dual=False,
                                                             loss='squared_epsilon_insensitive',
                                                             max_iter=10000,
                                                             random_state=120),
                                             number=26,
                                             scaling_indicator='MinMax'))])",yes,Lasso,26.0,retained,MinMax,17.639502258991254,6.842417170802457,54.528174662986906,17.66505329343657,6.8943013362122825,54.9862964868856,COMPLETE
4,164.02967685671103,2022-10-24 08:50:18.178755,2022-10-24 08:50:31.962821,0 days 00:00:13.784066,0.0018952811886992732,no,False,Lasso,squared_epsilon_insensitive,10000,25.0,capped,Standard,"Pipeline(memory='Caching',
         steps=[['outlier_capping',
                 OutlierCapTransformer(continuous=['NSU', 'Sales at Cost',
                                                   'Gross Sales', 'MRP'])],
                ['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 OneHotEncoder(variables=['NAME', 'ZONE...
                 CyclicalFeatures(drop_original=True,
                                  variables=['Fdate_month', 'Fdate_quarter'])],
                ('scaling', ScalingTransformer(scaler='Standard')),
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='Lasso',
                                             model=LinearSVR(C=0.0018952811886992732,
                                                             dual=False,
                                                             loss='squared_epsilon_insensitive',
                                                             max_iter=10000,
                                                             random_state=120),
                                             number=25,
                                             scaling_indicator='Standard'))])",no,Lasso,25.0,capped,Standard,77.21012494971241,39.6358650720998,164.1140290141013,77.24183778947896,39.5850977954994,164.02967685671103,COMPLETE
5,54.652845299270815,2022-10-24 08:50:32.113958,2022-10-24 08:51:02.041766,0 days 00:00:29.927808,0.029843463512503415,,False,FeatureWiz,squared_epsilon_insensitive,10000,,retained,Robust,"Pipeline(memory='Caching',
         steps=[['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 OneHotEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['Cyclic_encoding',
                 CyclicalFeatures(drop_original=True,
                                  variables=['Fdate_month', 'Fdate_quarter'])],
                ('scaling', ScalingTransformer(scaler='Robust')),
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureWiz',
                                             model=LinearSVR(C=0.029843463512503415,
                                                             dual=False,
                                                             loss='squared_epsilon_insensitive',
                                                             max_iter=10000,
                                                             random_state=120),
                                             scaling_indicator='Robust'))])",no,FeatureWiz,,retained,Robust,16.68625013960575,6.5675762738559085,54.38553727059664,16.728702492298314,6.586327571691945,54.652845299270815,COMPLETE
6,165.43925547594537,2022-10-24 08:51:02.189624,2022-10-24 08:51:33.307351,0 days 00:00:31.117727,0.2204236331862228,,False,FeatureWiz,squared_epsilon_insensitive,10000,,capped,Combine,"Pipeline(memory='Caching',
         steps=[['outlier_capping',
                 OutlierCapTransformer(continuous=['NSU', 'Sales at Cost',
                                                   'Gross Sales', 'MRP'])],
                ['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 OneHotEncoder(variables=['NAME', 'ZONE...
                 CyclicalFeatures(drop_original=True,
                                  variables=['Fdate_month', 'Fdate_quarter'])],
                ('scaling', ScalingTransformer(scaler='Combine')),
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureWiz',
                                             model=LinearSVR(C=0.2204236331862228,
                                                             dual=False,
                                                             loss='squared_epsilon_insensitive',
                                                             max_iter=10000,
                                                             random_state=120),
                                             scaling_indicator='Combine'))])",no,FeatureWiz,,capped,Combine,77.341300433508,40.60039365681195,165.52424423292942,77.37418709382872,40.490246714741595,165.43925547594537,COMPLETE
7,165.35445537084215,2022-10-24 08:51:33.473731,2022-10-24 08:52:04.681465,0 days 00:00:31.207734,0.4441893919686882,,False,FeatureWiz,squared_epsilon_insensitive,10000,,capped,Combine,"Pipeline(memory='Caching',
         steps=[['outlier_capping',
                 OutlierCapTransformer(continuous=['NSU', 'Sales at Cost',
                                                   'Gross Sales', 'MRP'])],
                ['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 OneHotEncoder(variables=['NAME', 'ZONE...
                 CyclicalFeatures(drop_original=True,
                                  variables=['Fdate_month', 'Fdate_quarter'])],
                ('scaling', ScalingTransformer(scaler='Combine')),
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureWiz',
                                             model=LinearSVR(C=0.4441893919686882,
                                                             dual=False,
                                                             loss='squared_epsilon_insensitive',
                                                             max_iter=10000,
                                                             random_state=120),
                                             scaling_indicator='Combine'))])",no,FeatureWiz,,capped,Combine,77.15341139586764,40.33749474381691,165.44282485465376,77.21051170361004,40.26111379289953,165.35445537084215,COMPLETE
8,164.09005165715465,2022-10-24 08:52:04.835977,2022-10-24 08:53:02.788205,0 days 00:00:57.952228,0.005237844018751225,no,False,FeatureImportance_ET,squared_epsilon_insensitive,10000,12.0,capped,Standard,"Pipeline(memory='Caching',
         steps=[['outlier_capping',
                 OutlierCapTransformer(continuous=['NSU', 'Sales at Cost',
                                                   'Gross Sales', 'MRP'])],
                ['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 OneHotEncoder(variables=['NAME', 'ZONE...
                                  variables=['Fdate_month', 'Fdate_quarter'])],
                ('scaling', ScalingTransformer(scaler='Standard')),
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureImportance_ET',
                                             model=LinearSVR(C=0.005237844018751225,
                                                             dual=False,
                                                             loss='squared_epsilon_insensitive',
                                                             max_iter=10000,
                                                             random_state=120),
                                             number=12,
                                             scaling_indicator='Standard'))])",no,FeatureImportance_ET,12.0,capped,Standard,77.31818561118757,39.18449566619453,164.16010353626675,77.34665040747679,39.14801316653752,164.09005165715465,COMPLETE
9,165.97172014904342,2022-10-24 08:53:02.947750,2022-10-24 08:53:33.574564,0 days 00:00:30.626814,0.011309911904280396,,False,FeatureWiz,squared_epsilon_insensitive,10000,,capped,MinMax,"Pipeline(memory='Caching',
         steps=[['outlier_capping',
                 OutlierCapTransformer(continuous=['NSU', 'Sales at Cost',
                                                   'Gross Sales', 'MRP'])],
                ['rare_data',
                 RareLabelEncoder(variables=['NAME', 'ZONE', 'Brand', 'MC'])],
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['nominal_encoding',
                 OneHotEncoder(variables=['NAME', 'ZONE...
                 CyclicalFeatures(drop_original=True,
                                  variables=['Fdate_month', 'Fdate_quarter'])],
                ('scaling', ScalingTransformer(scaler='MinMax')),
                ('featureselection',
                 FeatureSelectionTransformer(drop_correlated='no',
                                             method='FeatureWiz',
                                             model=LinearSVR(C=0.011309911904280396,
                                                             dual=False,
                                                             loss='squared_epsilon_insensitive',
                                                             max_iter=10000,
                                                             random_state=120),
                                             scaling_indicator='MinMax'))])",no,FeatureWiz,,capped,MinMax,76.0832934357204,38.26251193032589,165.98564874418958,75.96904265942418,38.31893546053033,165.97172014904342,COMPLETE
